dept_no,emp_no,first_name,last_name,birth_date,gender,title,from_date,to_date
d006,459685,Hirochika,Goldhammer,1965-02-01,M,Engineer,1998-03-12,9999-01-01
d008,294652,Hironobu,Brodie,1965-01-27,M,Senior Engineer,1993-09-17,9999-01-01
d004,280411,Hironoby,Farrar,1965-01-18,F,Technique Leader,1987-11-03,1996-11-12
d009,493031,Hironoby,Jakobus,1965-01-23,F,Senior Staff,1996-07-29,9999-01-01
d004,63419,Hiroyasu,Seuren,1965-01-14,F,Senior Engineer,1989-03-05,9999-01-01
d009,108091,Hisao,Ghemri,1965-01-09,M,Senior Staff,1990-11-14,9999-01-01
d005,94761,Hitofumi,Zaccaria,1965-01-27,M,Senior Engineer,1997-11-22,9999-01-01
d008,276027,Holgard,Stavenow,1965-01-04,F,Senior Staff,1995-02-28,9999-01-01
d004,469399,Hongzhu,Ruemmler,1965-01-25,F,Engineer,1999-02-14,9999-01-01
d003,256856,Hongzue,Barbanera,1965-01-03,M,Senior Staff,1995-06-17,9999-01-01
d004,106958,Horward,Begiun,1965-01-24,F,Senior Engineer,1992-11-06,2002-05-22
d005,288665,Horward,Khasidashvili,1965-01-31,M,Senior Engineer,1998-11-19,9999-01-01
d009,217363,Horward,Marzano,1965-01-14,M,Staff,1996-04-11,9999-01-01
d008,413098,Hsiangchu,Taubenfeld,1965-01-26,M,Senior Staff,1999-04-17,9999-01-01
d003,109652,Huan,Perko,1965-01-25,M,Senior Staff,1993-07-31,1999-03-12
d004,255466,Huan,Roccetti,1965-01-18,M,Senior Engineer,1985-07-03,9999-01-01
d003,43733,Huei,Boguraev,1965-01-26,M,Senior Staff,1998-12-31,9999-01-01
d005,92920,Huei,Hutter,1965-01-20,M,Senior Engineer,2000-01-29,9999-01-01
d004,38593,Huei,Orsini,1965-01-14,M,Senior Engineer,1995-06-04,9999-01-01
d006,429087,Hugh,Senzako,1965-01-27,M,Technique Leader,1992-10-15,9999-01-01
d008,279384,Hugo,Comte,1965-01-24,M,Senior Staff,1992-06-30,1993-12-05
d009,426795,Huican,Lunn,1965-01-07,M,Senior Staff,1991-07-23,9999-01-01
d008,32649,Ingmar,Nannarelli,1965-01-12,M,Senior Staff,1988-06-10,9999-01-01
d007,253707,Insup,Hainaut,1965-01-05,M,Staff,1998-02-11,9999-01-01
d001,236591,Insup,Reinhard,1965-01-11,M,Senior Staff,1993-04-08,9999-01-01
d005,256881,Ioana,Jakobus,1965-01-03,M,Senior Engineer,1999-08-10,9999-01-01
d005,225788,Ipke,Kieras,1965-01-08,M,Engineer,1995-12-18,9999-01-01
d005,414662,Ipke,Schneeberger,1965-01-21,M,Senior Engineer,1994-09-20,9999-01-01
d007,488632,Irena,Baalen,1965-01-20,M,Staff,1999-11-22,2001-02-10
d007,444208,Irena,Cesareni,1965-01-27,M,Senior Staff,1985-10-30,9999-01-01
d007,267667,Irena,Kaiserswerth,1965-01-05,F,Senior Staff,1994-09-05,9999-01-01
d009,262741,Izaskun,Moffat,1965-01-19,M,Senior Staff,1994-04-30,2001-08-14
d001,248351,Jaana,Milicia,1965-02-01,M,Senior Staff,1985-06-02,9999-01-01
d004,105191,Jaber,Kleiser,1965-01-01,M,Engineer,1986-12-13,1987-09-22
d004,463472,Jaber,Sethi,1965-01-11,M,Technique Leader,1995-06-06,9999-01-01
d005,457832,Jackson,Zielinski,1965-02-01,F,Senior Engineer,1997-09-12,9999-01-01
d004,295255,Jacopo,Bellone,1965-01-04,M,Technique Leader,1988-03-13,9999-01-01
d005,451272,Jacopo,Krohm,1965-01-02,M,Senior Engineer,1997-04-23,9999-01-01
d004,207021,Jacqueline,Akaboshi,1965-01-20,M,Engineer,1997-12-06,9999-01-01
d007,424805,Jacqueline,Zallocco,1965-01-24,M,Senior Staff,1994-12-17,9999-01-01
d005,81105,Jaewon,Boissier,1965-01-14,M,Senior Engineer,1998-05-24,9999-01-01
d001,86422,Jaewon,Thummel,1965-02-01,F,Senior Staff,1992-09-14,9999-01-01
d005,241254,Jagoda,Anguita,1965-01-15,F,Senior Engineer,1993-05-11,9999-01-01
d007,280420,Jahangir,Hofting,1965-01-31,M,Senior Staff,1993-09-28,9999-01-01
d007,425875,Jahangir,Kroft,1965-01-19,F,Senior Staff,1995-06-11,9999-01-01
d007,451253,Jaihie,Ozeri,1965-01-15,F,Senior Staff,1997-06-20,9999-01-01
d006,74237,Jaihie,Vilarrasa,1965-01-29,M,Engineer,2001-03-03,2001-06-20
d004,229981,Jamaludin,Fordan,1965-01-19,M,Senior Engineer,2001-02-05,9999-01-01
d005,109062,Jamaludin,Kandlur,1965-02-01,M,Senior Engineer,1992-06-19,9999-01-01
d007,91415,Jamaludin,Nilsson,1965-01-04,M,Senior Staff,1994-01-15,9999-01-01
d002,84494,Janalee,Loncour,1965-01-02,F,Staff,1986-04-12,1987-09-04
d002,427776,Jaques,Navazio,1965-01-25,F,Senior Staff,1998-04-03,9999-01-01
d008,22451,Jasminko,Bresenham,1965-01-27,M,Senior Staff,1996-12-15,9999-01-01
d005,402718,Jeanna,Rettelbach,1965-01-17,F,Senior Engineer,1996-02-14,9999-01-01
d004,60559,Jeanna,Stemann,1965-01-19,M,Senior Engineer,1996-08-29,9999-01-01
d004,404879,Jeanne,Kaminger,1965-01-12,M,Engineer,1987-07-21,1991-04-21
d001,79310,Jeong,Cunliffe,1965-01-24,F,Senior Staff,1996-10-27,9999-01-01
d009,37070,Jeong,Undy,1965-01-22,F,Senior Staff,1993-02-13,9999-01-01
d005,53597,Jiafu,Marchegay,1965-01-30,M,Senior Engineer,1992-03-02,9999-01-01
d004,35044,Jiang,Waschkowski,1965-01-04,F,Senior Engineer,1997-05-27,9999-01-01
d005,217387,Jianhao,Molenaar,1965-01-21,M,Senior Engineer,1994-10-22,9999-01-01
d004,21181,Jianhui,Cangellaris,1965-01-21,F,Engineer,1999-10-06,9999-01-01
d004,275881,Jiann,Munro,1965-01-08,M,Senior Engineer,1988-05-18,9999-01-01
d005,91973,Jianwen,Jakobus,1965-01-25,M,Senior Engineer,1998-08-24,2001-02-12
d004,55799,Jianwen,Litzler,1965-01-23,F,Senior Engineer,1993-06-16,9999-01-01
d008,86672,JoAnne,Anido,1965-01-15,F,Staff,1995-09-15,9999-01-01
d006,38550,JoAnne,Baez,1965-01-14,F,Senior Engineer,1987-02-16,9999-01-01
d005,408953,Jolita,Claffy,1965-01-26,M,Senior Engineer,1993-12-24,9999-01-01
d001,482755,Jouni,Conia,1965-01-03,M,Senior Staff,1999-10-31,9999-01-01
d004,287583,Jovan,Hockney,1965-01-18,M,Senior Engineer,1997-06-21,9999-01-01
d007,293752,Jungsoon,Bail,1965-01-04,F,Senior Staff,1994-02-18,9999-01-01
d004,88422,Jungsoon,Birsak,1965-01-28,M,Technique Leader,1985-04-03,9999-01-01
d005,422450,Junichi,Rubsam,1965-01-04,F,Senior Engineer,1988-10-30,1994-03-11
d004,46811,Junsik,Berendt,1965-01-10,M,Senior Engineer,1988-04-27,9999-01-01
d004,415187,Juyoung,Peltason,1965-01-03,M,Assistant Engineer,1998-09-01,9999-01-01
d002,426168,Kaijung,Mateescu,1965-01-10,M,Senior Staff,1992-11-17,9999-01-01
d005,458919,Kaijung,Papadias,1965-01-12,M,Engineer,1999-05-01,2001-04-12
d004,296718,Kamakshi,Bahl,1965-01-30,F,Senior Engineer,1987-12-22,9999-01-01
d007,400683,Kamakshi,Manders,1965-01-28,M,Staff,1995-08-05,9999-01-01
d005,416492,Kannan,Meriste,1965-01-15,M,Senior Engineer,1992-08-12,9999-01-01
d005,21843,Karsten,Azadmanesh,1965-01-09,M,Senior Engineer,1985-11-29,9999-01-01
d004,79043,Katsuo,Hockney,1965-01-24,M,Technique Leader,1999-11-07,9999-01-01
d005,295236,Kauko,Fujisawa,1965-01-24,M,Senior Engineer,1992-09-12,9999-01-01
d005,288028,Kauko,Narwekar,1965-01-22,F,Senior Engineer,1994-12-16,9999-01-01
d004,27970,KayLiang,Miyakawa,1965-01-12,F,Technique Leader,1995-11-22,2000-02-07
d007,262861,Kayoko,Attimonelli,1965-01-16,F,Senior Staff,1997-10-14,1999-01-20
d001,435181,Kazuhide,Fiutem,1965-01-16,M,Senior Staff,1998-05-10,9999-01-01
d004,13499,Kazuhiko,Sidou,1965-01-16,M,Technique Leader,1991-09-01,9999-01-01
d009,91172,Kazuhisa,Melter,1965-01-19,M,Senior Staff,1993-07-15,9999-01-01
d009,80067,Kazuhisa,Weiland,1965-01-19,M,Senior Staff,1991-11-09,9999-01-01
d004,243077,Kazunori,Perz,1965-02-01,F,Senior Engineer,1999-02-25,9999-01-01
d007,429231,Kazuyasu,Schmiedel,1965-01-09,F,Senior Staff,1991-09-07,9999-01-01
d005,485489,Keiichiro,Armand,1965-01-01,F,Senior Engineer,1996-12-13,9999-01-01
d005,233818,Kellie,Heydon,1965-01-01,M,Senior Engineer,1991-11-11,9999-01-01
d002,488984,Kendra,Junet,1965-01-18,M,Senior Staff,1993-02-28,9999-01-01
d004,265521,Kensei,Salverda,1965-01-04,M,Senior Engineer,2001-05-25,9999-01-01
d005,488482,Kensyu,Tsunoo,1965-01-30,F,Engineer,1999-12-05,9999-01-01
d008,422146,Kenton,Miara,1965-01-08,F,Engineer,1999-05-14,9999-01-01
d005,202826,Kerhong,Matzke,1965-01-19,M,Senior Engineer,1993-11-14,9999-01-01
d005,430631,Kersti,Marsiglia,1965-01-17,F,Engineer,1994-02-19,9999-01-01
d002,489756,Kersti,Miculan,1965-01-01,F,Senior Staff,1999-06-10,9999-01-01
d004,76598,Keung,Ferriere,1965-01-24,M,Engineer,1991-05-13,1995-10-08
d005,252318,Keung,Simmel,1965-01-30,M,Technique Leader,1995-11-17,2002-06-24
d004,430891,Khalil,Gien,1965-01-06,M,Senior Engineer,1991-08-06,9999-01-01
d006,52956,Khalil,Picci,1965-01-31,F,Senior Engineer,1992-03-20,9999-01-01
d005,455243,Khoa,Bahk,1965-01-13,M,Senior Engineer,1991-06-10,1998-02-07
d002,420877,Khosrow,Erez,1965-01-29,M,Senior Staff,1996-02-11,9999-01-01
d005,298339,King,Benzmuller,1965-01-11,M,Senior Engineer,1995-09-04,9999-01-01
d004,71243,Kinh,Buchter,1965-01-10,F,Senior Engineer,1993-03-29,9999-01-01
d005,200363,Kirk,Quaggetto,1965-01-10,F,Senior Engineer,1995-06-30,9999-01-01
d008,447376,Kirk,Zongker,1965-01-07,F,Staff,1999-12-10,9999-01-01
d005,250748,Kish,Turnbull,1965-01-27,F,Senior Engineer,1994-02-10,9999-01-01
d007,410703,Kitty,Halloran,1965-01-14,M,Staff,1997-11-20,2002-01-18
d005,406299,Kitty,Kolvik,1965-01-25,M,Engineer,1991-10-07,1995-04-29
d006,410881,Koichi,Grabner,1965-01-06,F,Senior Engineer,1990-04-24,9999-01-01
d008,10476,Kokou,Iisaka,1965-01-01,M,Senior Staff,1994-09-20,9999-01-01
d001,74598,Kolar,Garigliano,1965-01-07,M,Senior Staff,1992-05-10,1999-03-07
d009,240285,Kolar,Greenaway,1965-01-23,M,Staff,1998-11-14,9999-01-01
d004,76189,Kolar,Hinsberger,1965-01-02,F,Senior Engineer,1994-10-20,9999-01-01
d005,29679,Kolar,Steenbeek,1965-01-17,M,Senior Engineer,1986-10-18,9999-01-01
d008,278484,Koldo,Peternell,1965-01-25,M,Staff,1992-11-05,1993-04-06
d006,36982,Kotesh,Rajala,1965-01-22,M,Senior Engineer,2000-06-23,9999-01-01
d009,439905,Kousuke,Levasseur,1965-01-03,F,Senior Staff,1996-03-15,9999-01-01
d007,444099,Kousuke,Worfolk,1965-01-28,M,Senior Staff,1997-03-22,9999-01-01
d003,209443,Krassimir,Garnier,1965-01-19,M,Senior Staff,1998-01-26,9999-01-01
d007,64828,Krister,Pappas,1965-01-27,F,Staff,1999-09-30,9999-01-01
d005,95286,Kristin,Guerreiro,1965-01-18,F,Senior Engineer,1997-08-23,9999-01-01
d004,93600,Kristina,Neimat,1965-01-13,M,Technique Leader,1988-04-18,9999-01-01
d006,219035,Kristine,Bierman,1965-01-18,F,Technique Leader,1988-05-13,9999-01-01
d001,86213,Kristine,Clemencon,1965-01-28,M,Senior Staff,1996-04-21,9999-01-01
d004,71685,Kristinn,Olano,1965-01-01,F,Senior Engineer,1989-10-03,9999-01-01
d004,432257,Kwangjo,Hiltgen,1965-01-20,F,Engineer,1998-12-22,9999-01-01
d005,465711,Lakshmi,Frijda,1965-01-06,F,Senior Engineer,1995-04-21,9999-01-01
d005,69936,Lalit,Unni,1965-01-23,F,Assistant Engineer,1998-12-06,9999-01-01
d004,416455,Laurentiu,Morton,1965-01-22,F,Engineer,1998-12-21,1999-12-23
d001,222998,Leaf,Awdeh,1965-01-07,M,Senior Staff,1991-02-20,9999-01-01
d007,83544,Leaf,Baak,1965-01-18,M,Senior Staff,2001-09-05,9999-01-01
d005,488115,Leah,Luke,1965-01-29,M,Assistant Engineer,1995-08-23,1995-09-27
d005,88411,Lena,Cannane,1965-01-31,F,Engineer,2000-01-28,9999-01-01
d005,285396,Lena,Kohling,1965-01-27,M,Senior Engineer,1991-10-04,9999-01-01
d004,493744,Leni,Kropatsch,1965-01-14,M,Senior Engineer,1997-07-17,9999-01-01
d009,280291,Lenore,Badache,1965-01-26,F,Staff,1998-11-24,9999-01-01
d005,30182,Leon,Potthoff,1965-01-26,M,Senior Engineer,1993-12-08,9999-01-01
d001,205174,Leszek,Spinelli,1965-01-05,M,Staff,1998-12-10,9999-01-01
d005,106695,Lijie,Garrabrants,1965-01-31,F,Senior Staff,1990-10-02,9999-01-01
d004,268191,LiMin,Teitelbaum,1965-01-07,M,Senior Engineer,1995-11-01,9999-01-01
d004,241728,Limsoon,Boudaillier,1965-01-30,F,Senior Engineer,1995-08-12,9999-01-01
d007,429381,Limsoon,Roohalamini,1965-01-06,M,Senior Staff,1992-11-25,9999-01-01
d004,52970,Lobel,Werthner,1965-01-22,M,Senior Engineer,1997-03-17,9999-01-01
d007,297232,Lokesh,Saoudi,1965-01-16,F,Senior Staff,1999-05-25,9999-01-01
d001,262439,Lorien,Lagarias,1965-01-30,F,Senior Staff,1994-10-10,9999-01-01
d005,91182,Lucien,Schwartzburd,1965-01-04,F,Senior Engineer,1994-08-25,9999-01-01
d007,234195,Luerbio,Terkki,1965-01-07,M,Senior Staff,1998-05-14,9999-01-01
d004,490557,Luise,Vigier,1965-01-27,M,Senior Engineer,2001-07-01,9999-01-01
d005,458383,Mabhin,Foote,1965-01-06,M,Engineer,1999-04-23,9999-01-01
d005,227476,Macha,Schnabel,1965-01-11,M,Senior Engineer,1996-05-11,9999-01-01
d004,240340,Mack,Staylopatis,1965-01-14,M,Senior Engineer,1991-04-02,9999-01-01
d004,93278,Magdalena,Penn,1965-02-01,F,Senior Engineer,2002-01-04,9999-01-01
d008,99654,Mahendra,Motley,1965-01-30,F,Senior Staff,1992-09-28,9999-01-01
d004,39341,Mahmut,Lampe,1965-01-01,F,Senior Engineer,1994-05-11,9999-01-01
d006,86324,Maia,Berstel,1965-01-14,F,Senior Engineer,1993-07-17,2002-01-13
d002,10480,Make,Baba,1965-01-25,F,Staff,1988-05-18,1989-06-03
d006,447877,Make,Heuser,1965-01-13,M,Senior Engineer,1997-07-02,9999-01-01
d008,406714,Malu,Ossenbruggen,1965-02-01,F,Senior Staff,1994-11-21,9999-01-01
d007,254591,Mamdouh,Lodder,1965-01-08,F,Staff,1986-03-23,1991-12-09
d007,65998,Mandell,Alameldin,1965-01-09,F,Senior Staff,1996-04-08,9999-01-01
d004,22926,Manibrata,Genther,1965-01-01,M,Senior Engineer,1996-01-15,9999-01-01
d005,83805,Manohar,Harllee,1965-01-23,F,Senior Engineer,1987-03-11,9999-01-01
d007,245664,Manohar,Kilgore,1965-01-18,M,Staff,1998-11-17,9999-01-01
d007,101902,Mantis,Millington,1965-01-14,M,Senior Staff,1997-03-17,9999-01-01
d003,484126,Manton,Lueh,1965-01-05,F,Senior Staff,1989-04-07,9999-01-01
d007,27686,Manu,Rosiles,1965-01-28,M,Senior Staff,1998-03-03,9999-01-01
d005,208147,Manu,Rothenberg,1965-01-09,M,Senior Engineer,1995-12-07,9999-01-01
d004,483825,Marek,Mitchem,1965-01-22,M,Senior Engineer,1992-11-20,9999-01-01
d004,467441,Margareta,Bondorf,1965-01-13,M,Senior Engineer,1994-11-07,9999-01-01
d007,481467,Margareta,Polajnar,1965-01-03,F,Staff,1989-02-24,1996-07-01
d009,420476,Mariangiola,Bolsens,1965-01-28,M,Senior Staff,1994-06-15,9999-01-01
d005,296303,Mariangiola,Heyers,1965-01-28,F,Technique Leader,1992-08-04,9999-01-01
d005,11157,Mario,Cochrane,1965-02-01,M,Engineer,1985-03-30,1991-02-06
d004,427659,Mariusz,Ritcey,1965-01-27,F,Engineer,1987-03-16,1991-07-01
d005,423633,Mariusz,Tokunaga,1965-01-30,F,Senior Engineer,1985-02-11,9999-01-01
d001,243637,Marjo,Delgrange,1965-01-16,F,Senior Staff,1996-06-23,9999-01-01
d001,31568,Mark,Lalonde,1965-01-10,M,Staff,1996-11-24,9999-01-01
d004,261737,Mark,Lindqvist,1965-01-23,M,Senior Engineer,1997-11-22,9999-01-01
d008,443485,Marke,Klerer,1965-01-23,M,Senior Staff,1990-04-14,9999-01-01
d005,403455,Marko,Velardi,1965-01-25,M,Senior Engineer,1997-11-22,2001-08-27
d009,68168,Marl,Thiria,1965-01-14,F,Senior Staff,1992-03-17,1996-12-31
d005,40983,Marla,Cherinka,1965-01-17,F,Technique Leader,1986-12-01,9999-01-01
d008,266862,Mart,Plumb,1965-01-10,F,Senior Staff,1986-04-21,9999-01-01
d005,406537,Martien,Ranum,1965-01-30,F,Senior Engineer,1993-03-15,1999-05-18
d005,284711,Martijn,Azevdeo,1965-01-21,M,Senior Engineer,1988-02-10,9999-01-01
d004,401333,Martins,Shokrollahi,1965-01-30,M,Senior Engineer,1991-11-04,9999-01-01
d007,74668,Masako,Bonifati,1965-01-01,F,Senior Staff,1987-04-09,9999-01-01
d004,445941,Masako,Dechter,1965-01-11,M,Technique Leader,1985-09-25,9999-01-01
d004,261184,Masako,Kornatzky,1965-01-30,M,Senior Engineer,1987-08-29,9999-01-01
d008,405372,Masami,Merro,1965-01-24,M,Senior Staff,1996-09-23,1999-08-31
d005,217080,Masami,Puoti,1965-01-12,M,Senior Engineer,2000-01-21,9999-01-01
d003,431576,Masamitsu,Back,1965-01-06,F,Senior Staff,1994-03-25,9999-01-01
d004,281859,Masanao,Papastamatiou,1965-01-17,F,Senior Engineer,1993-11-25,9999-01-01
d004,38103,Masasuke,Babu,1965-01-12,M,Senior Engineer,1993-03-31,9999-01-01
d006,45590,Masoud,Genin,1965-01-21,F,Technique Leader,1991-02-16,1994-06-01
d003,244605,Masoud,Suwa,1965-01-22,M,Senior Staff,1997-11-25,9999-01-01
d003,489755,Matk,Chorvat,1965-01-14,M,Senior Staff,2000-12-29,9999-01-01
d005,474763,Mayuko,Clouatre,1965-01-07,F,Engineer,1997-09-04,9999-01-01
d005,30154,Mayuko,Skafidas,1965-01-26,M,Technique Leader,1999-04-19,9999-01-01
d007,262328,Mayuko,Vural,1965-01-03,F,Staff,1997-12-24,9999-01-01
d004,53088,Mechthild,Lamma,1965-01-25,M,Senior Engineer,1992-05-18,1993-06-03
d007,263649,Mechthild,Zongker,1965-01-17,M,Senior Staff,1993-07-26,9999-01-01
d006,56847,Menkae,Chinin,1965-01-14,M,Senior Engineer,1989-08-19,9999-01-01
d005,277829,Michaela,Fandrianto,1965-01-22,M,Senior Engineer,1986-06-02,9999-01-01
d005,38043,Michaela,Randi,1965-01-05,M,Senior Engineer,1994-11-23,9999-01-01
d004,62167,Mihalis,Haldar,1965-01-25,F,Senior Engineer,1998-05-11,2001-02-03
d007,238949,Minghong,Cronin,1965-01-09,F,Senior Staff,1987-10-04,9999-01-01
d005,44540,Mingzeng,Sadowski,1965-01-16,F,Senior Engineer,1989-11-12,9999-01-01
d007,265794,Miquel,Halloran,1965-01-15,M,Senior Staff,2002-01-14,9999-01-01
d007,441197,Miquel,Legleitner,1965-01-18,F,Senior Staff,1993-06-28,9999-01-01
d005,222311,Miyeon,Billingsley,1965-01-20,M,Senior Engineer,1992-12-05,9999-01-01
d004,242314,Miyeon,Burnard,1965-01-11,F,Engineer,1985-02-07,1985-12-13
d004,454994,Mohan,Picht,1965-01-01,M,Senior Engineer,2000-02-24,9999-01-01
d005,218022,Mokhtar,Poupard,1965-01-26,M,Technique Leader,1992-02-02,9999-01-01
d007,229690,Mokhtar,Sherertz,1965-01-08,M,Senior Staff,1995-06-10,1995-11-08
d005,205085,Moni,Kornyak,1965-01-23,M,Technique Leader,1991-09-26,9999-01-01
d007,229547,Moni,Schach,1965-01-03,M,Senior Staff,1991-07-04,9999-01-01
d002,433640,Monique,Baer,1965-01-12,F,Senior Staff,1987-12-12,1996-02-13
d002,474372,Monique,Cyre,1965-01-13,F,Senior Staff,1993-02-13,1994-10-11
d007,405015,Morris,Fargier,1965-01-02,M,Senior Staff,1996-06-29,9999-01-01
d005,293280,Moti,Steenbeek,1965-01-24,F,Senior Engineer,1993-01-21,9999-01-01
d007,413205,Mototsugu,Prampolini,1965-01-09,M,Senior Staff,1988-06-12,9999-01-01
d005,251680,Moty,Sommen,1965-01-05,F,Senior Engineer,1990-08-14,9999-01-01
d005,415563,Mrinalini,Bierbaum,1965-01-21,F,Senior Engineer,1994-03-12,9999-01-01
d002,262208,Mrinalini,Holburn,1965-01-16,M,Senior Staff,1987-04-20,9999-01-01
d005,485579,Munehiro,Iwayama,1965-01-18,M,Senior Engineer,1992-12-15,9999-01-01
d009,215629,Munehiro,Manders,1965-01-15,M,Senior Staff,1995-05-18,9999-01-01
d005,403237,Muneo,Gunderson,1965-01-01,M,Senior Engineer,1992-12-08,1993-09-19
d004,233247,Murthy,Angiulli,1965-01-18,M,Senior Engineer,1991-08-02,1998-07-21
d001,269728,Naftali,Kragelund,1965-01-12,M,Senior Staff,1993-05-15,9999-01-01
d004,34452,Naftaly,Foong,1965-01-08,M,Senior Engineer,2000-05-09,9999-01-01
d004,37719,Nakhoon,Buescher,1965-01-31,M,Engineer,1997-06-12,1999-01-17
d007,14907,Nakhoon,Luga,1965-01-14,M,Senior Staff,1994-12-18,9999-01-01
d005,47515,Naraig,Jenevein,1965-01-26,M,Senior Engineer,1987-01-18,9999-01-01
d004,406249,Naraig,Snyers,1965-01-23,F,Senior Engineer,1986-12-03,1992-05-19
d005,268043,Narain,Mikschl,1965-01-28,M,Engineer,1997-11-02,9999-01-01
d006,283041,Nathalie,Foote,1965-01-04,F,Senior Engineer,1991-07-20,1992-06-20
d005,416660,Nathalie,Luke,1965-01-28,M,Senior Engineer,1997-09-15,9999-01-01
d009,249780,Nechama,Gaughan,1965-01-12,F,Senior Engineer,1996-01-16,9999-01-01
d004,498955,Nechama,Kandlur,1965-01-13,F,Senior Engineer,2002-01-16,9999-01-01
d006,469529,Neven,Rikino,1965-01-07,M,Senior Engineer,1993-10-21,9999-01-01
d003,106242,Nevio,Thisen,1965-02-01,M,Senior Staff,1994-03-25,9999-01-01
d005,419388,Nikolaos,Bamford,1965-01-22,F,Senior Engineer,1991-02-25,1997-09-23
d005,209712,Nimmagadda,Baak,1965-01-17,F,Engineer,1995-10-30,9999-01-01
d004,428294,Nimmagadda,Kusakari,1965-01-13,M,Engineer,1992-09-29,1998-05-14
d003,280070,Niteen,Ebeling,1965-01-24,F,Senior Staff,1993-03-29,9999-01-01
d006,232209,Nitsan,Rouquie,1965-01-11,M,Senior Engineer,1995-08-02,9999-01-01
d004,401278,Oguz,Schurmann,1965-01-16,M,Engineer,1995-11-11,9999-01-01
d005,284687,Oksana,Redmiles,1965-01-15,F,Senior Engineer,1992-06-22,9999-01-01
d005,255657,Oldrich,Cyre,1965-01-20,F,Senior Engineer,1994-02-10,9999-01-01
d004,86546,Oldrich,Woycyznski,1965-01-09,F,Senior Engineer,1990-05-15,9999-01-01
d007,56428,Olivera,Hanabata,1965-01-27,M,Senior Staff,1992-11-09,9999-01-01
d008,239803,Oscal,Ernst,1965-01-30,M,Senior Staff,1997-05-19,9999-01-01
d004,445226,Oscar,Baumann,1965-01-01,M,Senior Engineer,1996-01-22,9999-01-01
d005,106514,Otilia,Speek,1965-01-04,M,Senior Engineer,1988-07-30,1992-11-07
d005,89048,Otmar,Birjandi,1965-01-24,F,Senior Engineer,1992-03-23,9999-01-01
d005,411070,Otmar,Brandsma,1965-01-29,F,Senior Engineer,1992-05-27,9999-01-01
d007,39952,Otmar,Sudbeck,1965-01-02,M,Staff,1998-07-22,9999-01-01
d001,43358,Ottavia,Mitsuhashi,1965-01-07,F,Staff,1989-08-18,1996-07-13
d002,63444,Padma,Peres,1965-01-19,F,Senior Staff,1991-02-20,1994-12-22
d009,259237,Palash,Gammage,1965-01-27,F,Senior Staff,1994-10-23,9999-01-01
d006,462493,Paloma,Gerlach,1965-01-12,M,Senior Engineer,1994-07-26,9999-01-01
d004,217551,Panayotis,Lukaszewicz,1965-01-02,F,Senior Engineer,1995-06-06,9999-01-01
d005,447613,Paris,Restivo,1965-01-15,M,Senior Engineer,1991-11-21,9999-01-01
d005,266689,Parke,Serna,1965-01-24,M,Senior Engineer,1985-03-29,1999-09-23
d005,281848,Parke,Staylopatis,1965-01-29,M,Senior Engineer,1999-07-31,9999-01-01
d005,84922,Parke,Unno,1965-01-22,F,Engineer,1996-07-01,9999-01-01
d001,257378,Pascal,Bernatsky,1965-01-06,F,Senior Staff,1995-09-04,9999-01-01
d009,85874,Pasqua,Taubman,1965-01-30,F,Senior Staff,1986-06-23,9999-01-01
d007,299737,Patricio,Itzfeldt,1965-02-01,M,Senior Staff,1994-05-21,9999-01-01
d004,214427,Peer,Molberg,1965-01-29,F,Engineer,1996-11-17,9999-01-01
d007,22415,Perla,Jumpertz,1965-01-20,M,Senior Staff,1994-08-24,9999-01-01
d008,220799,Perla,Orlowska,1965-01-17,F,Senior Engineer,1990-12-03,9999-01-01
d005,224335,Perry,Chachaty,1965-01-29,F,Senior Engineer,1992-07-22,9999-01-01
d003,484142,Perry,Cooman,1965-01-05,M,Senior Staff,1993-04-22,9999-01-01
d003,232496,Peternela,Klerer,1965-01-31,M,Staff,1986-06-06,1994-06-08
d004,41114,Petter,Thummel,1965-01-25,M,Technique Leader,1995-12-24,9999-01-01
d005,483213,Phillip,Munch,1965-01-16,M,Technique Leader,1991-09-02,1998-04-01
d007,284431,Pintsang,Fujisawa,1965-01-25,M,Senior Staff,2002-04-16,9999-01-01
d007,251301,Pintsang,Impagliazzo,1965-01-30,M,Senior Staff,1989-05-06,9999-01-01
d005,400780,Poornachandra,Asser,1965-01-09,M,Engineer,1993-11-07,9999-01-01
d001,220582,Poornachandra,Zielinski,1965-01-08,M,Senior Staff,2001-02-12,9999-01-01
d001,215843,Pramod,Loncour,1965-01-30,F,Senior Staff,1993-03-30,9999-01-01
d005,213384,Pranas,Narwekar,1965-01-04,F,Senior Engineer,1993-09-26,9999-01-01
d008,401364,Pranay,Kambil,1965-01-16,F,Senior Staff,1999-07-30,2002-04-06
d004,96100,Pranay,Rebaine,1965-01-11,M,Senior Engineer,1998-02-01,2000-12-31
d004,208784,Pranjal,Juneja,1965-01-30,F,Senior Engineer,1985-03-21,9999-01-01
d009,496100,Pranjal,Reinhard,1965-01-07,F,Staff,1995-05-08,9999-01-01
d007,71188,Pranjal,Schapiro,1965-01-02,M,Senior Staff,1993-12-14,9999-01-01
d004,414922,Prasadram,Piazza,1965-01-20,M,Senior Engineer,1992-06-04,1997-11-04
d007,53278,Premsyl,Lortz,1965-01-31,M,Senior Staff,1999-02-01,9999-01-01
d007,274271,Prodip,Ritcey,1965-01-10,F,Senior Staff,1993-09-10,9999-01-01
