dept_name,emp_no,first_name,last_name,birth_date,gender,title,from_date,to_date
Development,30182,Leon,Potthoff,1965-01-26,M,Senior Engineer,1993-12-08,9999-01-01
Production,453723,Arne,Kohling,1965-01-15,F,Senior Engineer,1993-12-13,9999-01-01
Sales,71188,Pranjal,Schapiro,1965-01-02,M,Senior Staff,1993-12-14,9999-01-01
Development,408953,Jolita,Claffy,1965-01-26,M,Senior Engineer,1993-12-24,9999-01-01
Sales,428219,Ghassan,Androutsos,1965-01-21,F,Senior Staff,1993-12-25,9999-01-01
Sales,91415,Jamaludin,Nilsson,1965-01-04,M,Senior Staff,1994-01-15,9999-01-01
Production,62033,Heeju,Cappelli,1965-01-24,M,Senior Engineer,1994-01-15,9999-01-01
Production,61377,Dannz,Ohori,1965-01-01,M,Senior Staff,1994-01-17,9999-01-01
Sales,24553,Anwar,Passafiume,1965-01-12,M,Senior Staff,1994-01-30,9999-01-01
Production,492677,Goetz,McAffer,1965-01-26,M,Senior Engineer,1994-02-04,9999-01-01
Research,278239,Boaz,Bottner,1965-01-19,F,Staff,1994-02-06,9999-01-01
Development,255657,Oldrich,Cyre,1965-01-20,F,Senior Engineer,1994-02-10,9999-01-01
Development,250748,Kish,Turnbull,1965-01-27,F,Senior Engineer,1994-02-10,9999-01-01
Sales,293752,Jungsoon,Bail,1965-01-04,F,Senior Staff,1994-02-18,9999-01-01
Development,430631,Kersti,Marsiglia,1965-01-17,F,Engineer,1994-02-19,9999-01-01
Development,37945,Suzette,Butterworth,1965-01-02,M,Senior Engineer,1994-02-19,9999-01-01
Production,418309,Danel,Petereit,1965-01-24,F,Senior Engineer,1994-02-21,9999-01-01
Development,415563,Mrinalini,Bierbaum,1965-01-21,F,Senior Engineer,1994-03-12,9999-01-01
Customer Service,29265,Gilbert,Calkin,1965-01-14,M,Senior Staff,1994-03-21,9999-01-01
Development,33722,Anwar,Collette,1965-01-15,M,Senior Engineer,1994-03-22,9999-01-01
Human Resources,431576,Masamitsu,Back,1965-01-06,F,Senior Staff,1994-03-25,9999-01-01
Human Resources,106242,Nevio,Thisen,1965-02-01,M,Senior Staff,1994-03-25,9999-01-01
Research,244624,Boaz,Seuren,1965-01-31,F,Senior Staff,1994-03-27,9999-01-01
Sales,470456,Reuven,Oehlmann,1965-01-13,F,Senior Staff,1994-03-29,9999-01-01
Sales,10291,Dipayan,Seghrouchni,1965-01-23,M,Senior Staff,1994-03-30,9999-01-01
Development,244820,Shigenori,Hertweck,1965-01-15,F,Senior Engineer,1994-04-13,9999-01-01
Production,214995,Dinkar,Hoppenstand,1965-01-12,M,Engineer,1994-05-04,9999-01-01
Production,39341,Mahmut,Lampe,1965-01-01,F,Senior Engineer,1994-05-11,9999-01-01
Marketing,432956,Qunsheng,Birrer,1965-01-25,F,Senior Staff,1994-05-13,9999-01-01
Sales,244873,Arunachalam,Oppitz,1965-01-04,M,Senior Staff,1994-05-20,9999-01-01
Sales,299737,Patricio,Itzfeldt,1965-02-01,M,Senior Staff,1994-05-21,9999-01-01
Production,465874,Herb,Picht,1965-01-12,F,Engineer,1994-05-31,9999-01-01
Production,68608,Yucai,Seghrouchni,1965-01-26,M,Senior Engineer,1994-06-09,9999-01-01
Development,293329,Fumiya,Griswold,1965-01-15,F,Senior Engineer,1994-06-12,9999-01-01
Customer Service,420476,Mariangiola,Bolsens,1965-01-28,M,Senior Staff,1994-06-15,9999-01-01
Production,276445,Atilio,Randi,1965-01-27,M,Senior Engineer,1994-07-02,9999-01-01
Sales,69219,Shuky,Redmiles,1965-01-09,F,Senior Staff,1994-07-06,9999-01-01
Production,454791,Xiaoqiu,Pietracaprina,1965-01-22,M,Senior Engineer,1994-07-09,9999-01-01
Sales,456767,Tetsurou,Schreiter,1965-01-24,M,Senior Staff,1994-07-17,9999-01-01
Quality Management,462493,Paloma,Gerlach,1965-01-12,M,Senior Engineer,1994-07-26,9999-01-01
Development,432261,Arve,Bergere,1965-01-30,F,Senior Engineer,1994-07-28,9999-01-01
Human Resources,201229,Alejandra,Khasidashvili,1965-01-03,M,Staff,1994-07-30,9999-01-01
Customer Service,464303,Abdelghani,Nyrup,1965-01-22,F,Senior Staff,1994-08-02,9999-01-01
Sales,265558,Susuma,Kleiser,1965-01-31,M,Senior Staff,1994-08-02,9999-01-01
Human Resources,457070,Gay,Plavsic,1965-01-25,F,Senior Staff,1994-08-06,9999-01-01
Development,284691,Theron,Ressouche,1965-01-04,F,Senior Engineer,1994-08-17,9999-01-01
Sales,22415,Perla,Jumpertz,1965-01-20,M,Senior Staff,1994-08-24,9999-01-01
Development,91182,Lucien,Schwartzburd,1965-01-04,F,Senior Engineer,1994-08-25,9999-01-01
Research,441965,Claudi,Heijenga,1965-01-12,F,Senior Staff,1994-08-30,9999-01-01
Sales,267667,Irena,Kaiserswerth,1965-01-05,F,Senior Staff,1994-09-05,9999-01-01
Marketing,242104,Richara,Sudkamp,1965-01-05,F,Senior Staff,1994-09-05,9999-01-01
Sales,16461,Remmert,Schahn,1965-01-14,M,Senior Staff,1994-09-06,9999-01-01
Development,233690,Cedric,Riefers,1965-01-17,F,Engineer,1994-09-08,9999-01-01
Sales,24394,Zhonghui,Conta,1965-01-04,M,Staff,1994-09-10,9999-01-01
Quality Management,64487,Tsutomu,Rebaine,1965-01-27,M,Senior Engineer,1994-09-17,9999-01-01
Human Resources,410028,Xiadong,McClurg,1965-01-11,M,Senior Staff,1994-09-17,9999-01-01
Research,10476,Kokou,Iisaka,1965-01-01,M,Senior Staff,1994-09-20,9999-01-01
Development,414662,Ipke,Schneeberger,1965-01-21,M,Senior Engineer,1994-09-20,9999-01-01
Marketing,59869,Zsolt,Riefers,1965-02-01,M,Senior Staff,1994-09-25,9999-01-01
Marketing,262439,Lorien,Lagarias,1965-01-30,F,Senior Staff,1994-10-10,9999-01-01
Marketing,241292,Uri,Lampe,1965-01-29,M,Senior Staff,1994-10-17,9999-01-01
Customer Service,491632,Gadiel,Perly,1965-01-01,M,Senior Staff,1994-10-20,9999-01-01
Production,76189,Kolar,Hinsberger,1965-01-02,F,Senior Engineer,1994-10-20,9999-01-01
Development,217387,Jianhao,Molenaar,1965-01-21,M,Senior Engineer,1994-10-22,9999-01-01
Customer Service,259237,Palash,Gammage,1965-01-27,F,Senior Staff,1994-10-23,9999-01-01
Sales,486918,Yagil,Remmers,1965-01-18,F,Senior Staff,1994-11-01,9999-01-01
Production,467441,Margareta,Bondorf,1965-01-13,M,Senior Engineer,1994-11-07,9999-01-01
Development,276472,Hideyuki,Flanders,1965-01-27,F,Senior Engineer,1994-11-10,9999-01-01
Development,227354,Gio,Murtha,1965-01-12,F,Senior Engineer,1994-11-11,9999-01-01
Production,458790,Ramya,Azadmanesh,1965-01-17,M,Senior Engineer,1994-11-19,9999-01-01
Research,406714,Malu,Ossenbruggen,1965-02-01,F,Senior Staff,1994-11-21,9999-01-01
Development,38043,Michaela,Randi,1965-01-05,M,Senior Engineer,1994-11-23,9999-01-01
Finance,298577,Florina,Litecky,1965-01-11,M,Senior Staff,1994-12-02,9999-01-01
Sales,80731,Shaowen,Eldridge,1965-01-25,M,Senior Staff,1994-12-05,9999-01-01
Finance,437276,Dines,DeMori,1965-01-17,F,Senior Staff,1994-12-07,9999-01-01
Development,288028,Kauko,Narwekar,1965-01-22,F,Senior Engineer,1994-12-16,9999-01-01
Sales,424805,Jacqueline,Zallocco,1965-01-24,M,Senior Staff,1994-12-17,9999-01-01
Sales,14907,Nakhoon,Luga,1965-01-14,M,Senior Staff,1994-12-18,9999-01-01
Sales,421033,Garnik,Randt,1965-01-14,F,Senior Staff,1994-12-23,9999-01-01
Production,292828,Ziya,Tokunaga,1965-01-10,F,Senior Engineer,1995-01-08,9999-01-01
Production,44959,Volkmar,Uhrik,1965-01-21,F,Senior Engineer,1995-01-16,9999-01-01
Customer Service,272285,Gully,Mitchem,1965-01-19,M,Senior Staff,1995-01-22,9999-01-01
Human Resources,222206,Stein,Uludag,1965-01-21,M,Senior Staff,1995-01-30,9999-01-01
Marketing,53874,Bodo,Schade,1965-01-23,M,Senior Staff,1995-02-14,9999-01-01
Research,276027,Holgard,Stavenow,1965-01-04,F,Senior Staff,1995-02-28,9999-01-01
Quality Management,430558,Xiong,Roisin,1965-01-07,F,Senior Engineer,1995-03-02,9999-01-01
Customer Service,231671,Chandrasekaran,Pearson,1965-01-07,F,Staff,1995-04-14,9999-01-01
Development,465711,Lakshmi,Frijda,1965-01-06,F,Senior Engineer,1995-04-21,9999-01-01
Development,241567,Emran,Miara,1965-01-18,M,Senior Engineer,1995-05-02,9999-01-01
Development,18021,Adil,Matzke,1965-01-07,M,Senior Engineer,1995-05-08,9999-01-01
Production,465062,Stafford,Gist,1965-01-29,M,Senior Engineer,1995-05-08,9999-01-01
Customer Service,496100,Pranjal,Reinhard,1965-01-07,F,Staff,1995-05-08,9999-01-01
Customer Service,215629,Munehiro,Manders,1965-01-15,M,Senior Staff,1995-05-18,9999-01-01
Sales,51036,Chriss,Fasbender,1965-01-29,F,Staff,1995-05-23,9999-01-01
Development,219047,Aemilian,Kusalik,1965-01-30,M,Senior Engineer,1995-05-27,9999-01-01
Sales,52386,Adas,Denti,1965-01-28,M,Senior Staff,1995-05-30,9999-01-01
Human Resources,421384,Renny,Bednarek,1965-01-02,M,Senior Staff,1995-06-01,9999-01-01
Production,38593,Huei,Orsini,1965-01-14,M,Senior Engineer,1995-06-04,9999-01-01
Customer Service,427332,Feiyu,Hemaspaandra,1965-01-20,M,Staff,1995-06-04,9999-01-01
Production,217551,Panayotis,Lukaszewicz,1965-01-02,F,Senior Engineer,1995-06-06,9999-01-01
Production,463472,Jaber,Sethi,1965-01-11,M,Technique Leader,1995-06-06,9999-01-01
Sales,425875,Jahangir,Kroft,1965-01-19,F,Senior Staff,1995-06-11,9999-01-01
Marketing,20100,Utz,Heuter,1965-01-18,F,Senior Staff,1995-06-15,9999-01-01
Human Resources,256856,Hongzue,Barbanera,1965-01-03,M,Senior Staff,1995-06-17,9999-01-01
Development,200363,Kirk,Quaggetto,1965-01-10,F,Senior Engineer,1995-06-30,9999-01-01
Customer Service,230126,Bezalel,Radivojevic,1965-01-31,M,Senior Staff,1995-07-03,9999-01-01
Sales,233785,Baziley,Ballarin,1965-01-30,F,Senior Staff,1995-07-28,9999-01-01
Customer Service,276563,Gift,Solares,1965-01-01,F,Senior Staff,1995-08-01,9999-01-01
Quality Management,232209,Nitsan,Rouquie,1965-01-11,M,Senior Engineer,1995-08-02,9999-01-01
Sales,69052,Shietung,Shrader,1965-01-26,M,Senior Staff,1995-08-05,9999-01-01
Sales,400683,Kamakshi,Manders,1965-01-28,M,Staff,1995-08-05,9999-01-01
Production,241728,Limsoon,Boudaillier,1965-01-30,F,Senior Engineer,1995-08-12,9999-01-01
Customer Service,229098,Berry,Yurek,1965-01-08,F,Senior Staff,1995-08-16,9999-01-01
Development,62245,Adel,Bressoud,1965-01-01,F,Engineer,1995-08-30,9999-01-01
Marketing,257378,Pascal,Bernatsky,1965-01-06,F,Senior Staff,1995-09-04,9999-01-01
Development,298339,King,Benzmuller,1965-01-11,M,Senior Engineer,1995-09-04,9999-01-01
Production,226227,Herbert,Erva,1965-01-07,M,Senior Engineer,1995-09-06,9999-01-01
Research,228248,Yuriy,Plump,1965-01-09,F,Senior Staff,1995-09-09,9999-01-01
Research,86672,JoAnne,Anido,1965-01-15,F,Staff,1995-09-15,9999-01-01
Production,445723,Gaurav,Roison,1965-01-31,F,Senior Staff,1995-10-22,9999-01-01
Development,201801,Waiman,Genin,1965-01-12,M,Senior Engineer,1995-10-30,9999-01-01
Development,209712,Nimmagadda,Baak,1965-01-17,F,Engineer,1995-10-30,9999-01-01
Production,268191,LiMin,Teitelbaum,1965-01-07,M,Senior Engineer,1995-11-01,9999-01-01
Development,98306,Ziya,Kadhim,1965-01-16,M,Senior Engineer,1995-11-02,9999-01-01
Production,401278,Oguz,Schurmann,1965-01-16,M,Engineer,1995-11-11,9999-01-01
Production,475258,Fumiyo,Feinberg,1965-01-10,M,Senior Staff,1995-11-22,9999-01-01
Development,221126,Tesuya,dAstous,1965-01-23,F,Senior Engineer,1995-11-30,9999-01-01
Development,208147,Manu,Rothenberg,1965-01-09,M,Senior Engineer,1995-12-07,9999-01-01
Human Resources,257484,Shaowei,Nicolson,1965-01-01,M,Senior Staff,1995-12-07,9999-01-01
Development,225788,Ipke,Kieras,1965-01-08,M,Engineer,1995-12-18,9999-01-01
Development,279791,Chiranjit,Lyonns,1965-01-10,F,Engineer,1995-12-24,9999-01-01
Production,41114,Petter,Thummel,1965-01-25,M,Technique Leader,1995-12-24,9999-01-01
Sales,273858,Gunilla,Matzen,1965-01-13,M,Senior Staff,1995-12-28,9999-01-01
Human Resources,224934,George,Miake,1965-01-05,M,Senior Staff,1996-01-02,9999-01-01
Finance,257469,Anyuan,Hanratty,1965-01-22,F,Senior Staff,1996-01-06,9999-01-01
Production,22926,Manibrata,Genther,1965-01-01,M,Senior Engineer,1996-01-15,9999-01-01
Customer Service,249780,Nechama,Gaughan,1965-01-12,F,Senior Engineer,1996-01-16,9999-01-01
Production,445226,Oscar,Baumann,1965-01-01,M,Senior Engineer,1996-01-22,9999-01-01
Development,273286,Brigham,Asmuth,1965-01-26,M,Senior Engineer,1996-01-24,9999-01-01
Quality Management,284954,Anneke,Hammerschmidt,1965-01-16,M,Engineer,1996-01-30,9999-01-01
Finance,420877,Khosrow,Erez,1965-01-29,M,Senior Staff,1996-02-11,9999-01-01
Development,402718,Jeanna,Rettelbach,1965-01-17,F,Senior Engineer,1996-02-14,9999-01-01
Development,475938,Shigeaki,Lanteri,1965-01-14,M,Senior Engineer,1996-02-18,9999-01-01
Sales,239244,Abdulla,Kitai,1965-01-13,M,Senior Staff,1996-02-20,9999-01-01
Human Resources,402827,Weidon,Pollacia,1965-01-28,F,Senior Staff,1996-02-27,9999-01-01
Production,92438,Aria,Kilgore,1965-01-04,M,Senior Engineer,1996-02-28,9999-01-01
Development,40536,Harngdar,Bernardinello,1965-01-20,F,Senior Engineer,1996-02-29,9999-01-01
Sales,238422,Vishv,Angelov,1965-01-10,M,Senior Staff,1996-03-08,9999-01-01
Customer Service,439905,Kousuke,Levasseur,1965-01-03,F,Senior Staff,1996-03-15,9999-01-01
Development,81995,Sreekrishna,Brender,1965-01-10,M,Senior Engineer,1996-03-21,9999-01-01
Production,408019,Shridhar,Chleq,1965-01-01,F,Senior Engineer,1996-03-21,9999-01-01
Finance,109278,Bangqing,Schach,1965-01-21,M,Senior Staff,1996-03-22,9999-01-01
Sales,239067,Tadahiko,Pocchiola,1965-01-11,M,Staff,1996-04-02,9999-01-01
Sales,65998,Mandell,Alameldin,1965-01-09,F,Senior Staff,1996-04-08,9999-01-01
Marketing,79763,Sanjoy,Barreiro,1965-01-20,M,Senior Staff,1996-04-09,9999-01-01
Customer Service,60091,Surveyors,Bade,1965-02-01,F,Senior Staff,1996-04-10,9999-01-01
Sales,109953,Godehard,Chorvat,1965-01-26,F,Senior Staff,1996-04-10,9999-01-01
Customer Service,217363,Horward,Marzano,1965-01-14,M,Staff,1996-04-11,9999-01-01
Finance,413666,Remco,Duclos,1965-01-05,M,Senior Staff,1996-04-18,9999-01-01
Marketing,86213,Kristine,Clemencon,1965-01-28,M,Senior Staff,1996-04-21,9999-01-01
Development,416074,Alain,Lieberherr,1965-01-08,M,Senior Engineer,1996-05-10,9999-01-01
Development,227476,Macha,Schnabel,1965-01-11,M,Senior Engineer,1996-05-11,9999-01-01
Research,105356,Diederik,Matzov,1965-01-29,M,Senior Engineer,1996-05-12,9999-01-01
Development,424984,Vasilis,Waleschkowski,1965-01-11,M,Engineer,1996-05-26,9999-01-01
Sales,239748,Bilhanan,Dusink,1965-01-23,F,Senior Staff,1996-06-04,9999-01-01
Production,40301,Spyrose,Felder,1965-01-20,M,Senior Engineer,1996-06-16,9999-01-01
Sales,491478,Gill,Varman,1965-01-16,M,Senior Staff,1996-06-18,9999-01-01
Marketing,243637,Marjo,Delgrange,1965-01-16,F,Senior Staff,1996-06-23,9999-01-01
Sales,405015,Morris,Fargier,1965-01-02,M,Senior Staff,1996-06-29,9999-01-01
Development,84922,Parke,Unno,1965-01-22,F,Engineer,1996-07-01,9999-01-01
Quality Management,450817,DAIDA,Frolund,1965-01-10,M,Senior Engineer,1996-07-16,9999-01-01
Development,404236,Zengping,Kakkar,1965-01-12,M,Senior Engineer,1996-07-22,9999-01-01
Research,219417,Subhrajyoti,Denna,1965-01-29,M,Staff,1996-07-25,9999-01-01
Customer Service,493031,Hironoby,Jakobus,1965-01-23,F,Senior Staff,1996-07-29,9999-01-01
Marketing,466603,Yechezkel,Nourani,1965-01-23,F,Senior Staff,1996-07-31,9999-01-01
Sales,38168,Fumiko,Deverell,1965-01-14,M,Senior Staff,1996-08-14,9999-01-01
Production,416892,Shooichi,Vandervoorde,1965-01-03,M,Engineer,1996-08-16,9999-01-01
Sales,203720,Sasan,Thimonier,1965-01-30,M,Senior Staff,1996-08-21,9999-01-01
Quality Management,93220,Richara,Walston,1965-01-11,M,Senior Engineer,1996-08-27,9999-01-01
Quality Management,221369,Abdulah,Pocchiola,1965-01-28,F,Engineer,1996-08-28,9999-01-01
Production,60559,Jeanna,Stemann,1965-01-19,M,Senior Engineer,1996-08-29,9999-01-01
Customer Service,52599,Augustine,Mungall,1965-01-25,F,Senior Engineer,1996-08-30,9999-01-01
Sales,423204,Uma,Stranks,1965-01-08,M,Senior Staff,1996-09-12,9999-01-01
Sales,55857,Adin,Scallan,1965-01-18,M,Senior Staff,1996-09-14,9999-01-01
Development,45162,Dulce,Speel,1965-01-11,F,Senior Engineer,1996-10-18,9999-01-01
Quality Management,92454,Visit,McFarlan,1965-01-24,M,Senior Engineer,1996-10-21,9999-01-01
Marketing,79310,Jeong,Cunliffe,1965-01-24,F,Senior Staff,1996-10-27,9999-01-01
Production,214427,Peer,Molberg,1965-01-29,F,Engineer,1996-11-17,9999-01-01
Marketing,31568,Mark,Lalonde,1965-01-10,M,Staff,1996-11-24,9999-01-01
Development,427571,Torsten,Ranta,1965-01-20,M,Senior Engineer,1996-12-10,9999-01-01
Development,485489,Keiichiro,Armand,1965-01-01,F,Senior Engineer,1996-12-13,9999-01-01
Research,22451,Jasminko,Bresenham,1965-01-27,M,Senior Staff,1996-12-15,9999-01-01
Production,447982,Shiv,Baezner,1965-01-25,F,Senior Engineer,1996-12-16,9999-01-01
Human Resources,42778,Shuji,Remmers,1965-01-19,F,Senior Staff,1996-12-17,9999-01-01
Production,457776,Florian,Siepmann,1965-01-15,F,Senior Engineer,1996-12-20,9999-01-01
Sales,238252,Uno,Suppi,1965-01-09,M,Staff,1996-12-27,9999-01-01
Sales,440642,Snehasis,Kalsbeek,1965-01-14,M,Senior Staff,1997-01-05,9999-01-01
Sales,46328,Wuxu,Trogemann,1965-01-05,F,Senior Staff,1997-01-27,9999-01-01
Customer Service,90518,Fumiko,Chepyzhov,1965-01-24,M,Senior Staff,1997-01-27,9999-01-01
Research,274369,Ranga,Waymire,1965-01-29,F,Senior Staff,1997-01-27,9999-01-01
Development,241872,Bluma,Fetvedt,1965-01-11,F,Senior Staff,1997-02-02,9999-01-01
Production,214789,Arfst,Chepyzhov,1965-01-28,F,Senior Engineer,1997-02-06,9999-01-01
Finance,448994,Haldun,Syang,1965-01-12,M,Staff,1997-02-11,9999-01-01
Customer Service,212154,Sailaja,Holburn,1965-01-17,M,Senior Staff,1997-03-03,9999-01-01
Development,35798,Ulf,Oberman,1965-01-29,F,Senior Engineer,1997-03-15,9999-01-01
Production,52970,Lobel,Werthner,1965-01-22,M,Senior Engineer,1997-03-17,9999-01-01
Sales,101902,Mantis,Millington,1965-01-14,M,Senior Staff,1997-03-17,9999-01-01
Sales,444099,Kousuke,Worfolk,1965-01-28,M,Senior Staff,1997-03-22,9999-01-01
Development,451272,Jacopo,Krohm,1965-01-02,M,Senior Engineer,1997-04-23,9999-01-01
Development,485577,Rafael,Menhoudj,1965-01-30,F,Senior Engineer,1997-04-27,9999-01-01
Production,89680,Aiman,Mawatari,1965-01-27,F,Senior Engineer,1997-05-01,9999-01-01
Research,239803,Oscal,Ernst,1965-01-30,M,Senior Staff,1997-05-19,9999-01-01
Development,247612,Chiranjit,Constantine,1965-01-04,F,Engineer,1997-05-25,9999-01-01
Production,35044,Jiang,Waschkowski,1965-01-04,F,Senior Engineer,1997-05-27,9999-01-01
Development,203495,Zongyan,Gips,1965-01-02,M,Technique Leader,1997-05-31,9999-01-01
Production,249433,Ayonca,Matzov,1965-01-16,F,Senior Engineer,1997-06-03,9999-01-01
Marketing,403621,Deborah,Kaminger,1965-01-07,M,Senior Staff,1997-06-04,9999-01-01
Sales,451253,Jaihie,Ozeri,1965-01-15,F,Senior Staff,1997-06-20,9999-01-01
Production,287583,Jovan,Hockney,1965-01-18,M,Senior Engineer,1997-06-21,9999-01-01
Development,94944,Heping,Matheson,1965-01-13,M,Senior Engineer,1997-06-24,9999-01-01
Sales,488142,Denis,Narlikar,1965-01-05,M,Senior Staff,1997-06-30,9999-01-01
Quality Management,447877,Make,Heuser,1965-01-13,M,Senior Engineer,1997-07-02,9999-01-01
Sales,208330,Shen,Flanders,1965-01-11,F,Senior Staff,1997-07-03,9999-01-01
Development,492639,Sanjoy,Porenta,1965-01-30,M,Engineer,1997-07-10,9999-01-01
Production,66382,Domenico,Candan,1965-01-04,F,Engineer,1997-07-13,9999-01-01
Production,493744,Leni,Kropatsch,1965-01-14,M,Senior Engineer,1997-07-17,9999-01-01
Sales,498635,Florian,Pezzoli,1965-01-09,F,Senior Staff,1997-07-22,9999-01-01
Development,63706,Sedat,Itzigehl,1965-01-26,F,Engineer,1997-07-31,9999-01-01
Quality Management,85702,Udi,Merks,1965-01-04,M,Engineer,1997-08-15,9999-01-01
Development,414091,Wuxu,Kuhnemann,1965-01-17,M,Engineer,1997-08-19,9999-01-01
Development,95286,Kristin,Guerreiro,1965-01-18,F,Senior Engineer,1997-08-23,9999-01-01
Production,265875,Fan,Marsiglia,1965-01-20,M,Senior Engineer,1997-09-03,9999-01-01
Development,474763,Mayuko,Clouatre,1965-01-07,F,Engineer,1997-09-04,9999-01-01
Development,457832,Jackson,Zielinski,1965-02-01,F,Senior Engineer,1997-09-12,9999-01-01
Development,416660,Nathalie,Luke,1965-01-28,M,Senior Engineer,1997-09-15,9999-01-01
Marketing,32347,Terresa,Peres,1965-01-08,M,Senior Staff,1997-09-15,9999-01-01
Research,259718,Stepehn,Bouloucos,1965-01-24,M,Senior Staff,1997-09-16,9999-01-01
Customer Service,488788,Wuxu,Garigliano,1965-01-12,M,Senior Staff,1997-09-21,9999-01-01
Production,90614,Yonghoan,Trogemann,1965-01-29,M,Engineer,1997-09-23,9999-01-01
Marketing,91648,Dmitry,Msuda,1965-01-29,F,Senior Staff,1997-10-22,9999-01-01
Finance,471552,Basem,Lortz,1965-01-22,F,Staff,1997-10-25,9999-01-01
Development,424569,Danco,Luff,1965-01-14,F,Engineer,1997-10-30,9999-01-01
Development,268043,Narain,Mikschl,1965-01-28,M,Engineer,1997-11-02,9999-01-01
Customer Service,414027,Tadanori,Msuda,1965-01-31,M,Senior Engineer,1997-11-06,9999-01-01
Development,452365,Fei,Gadepally,1965-01-05,M,Engineer,1997-11-13,9999-01-01
Sales,34077,Angel,Sichman,1965-01-08,F,Senior Staff,1997-11-16,9999-01-01
Marketing,32714,Radoslaw,Maliniak,1965-01-16,M,Staff,1997-11-17,9999-01-01
Human Resources,424930,Xuejun,Reeker,1965-01-19,F,Senior Staff,1997-11-18,9999-01-01
Production,261737,Mark,Lindqvist,1965-01-23,M,Senior Engineer,1997-11-22,9999-01-01
Development,94761,Hitofumi,Zaccaria,1965-01-27,M,Senior Engineer,1997-11-22,9999-01-01
Human Resources,244605,Masoud,Suwa,1965-01-22,M,Senior Staff,1997-11-25,9999-01-01
Sales,246764,Shuzo,Czaja,1965-01-04,M,Staff,1997-11-29,9999-01-01
Production,207021,Jacqueline,Akaboshi,1965-01-20,M,Engineer,1997-12-06,9999-01-01
Development,28193,Xinglin,Mitsuhashi,1965-01-29,M,Senior Engineer,1997-12-14,9999-01-01
Development,216502,Xiaocheng,Suermann,1965-01-26,F,Engineer,1997-12-15,9999-01-01
Production,483838,Sham,Kavanagh,1965-01-03,F,Assistant Engineer,1997-12-18,9999-01-01
Sales,262328,Mayuko,Vural,1965-01-03,F,Staff,1997-12-24,9999-01-01
Development,231798,Goetz,Alvarado,1965-01-28,M,Senior Engineer,1997-12-25,9999-01-01
Production,53924,Arnould,Gaughan,1965-01-27,F,Senior Engineer,1998-01-23,9999-01-01
Human Resources,209443,Krassimir,Garnier,1965-01-19,M,Senior Staff,1998-01-26,9999-01-01
Development,288893,Bedrich,Rosenbaum,1965-01-30,M,Senior Engineer,1998-01-27,9999-01-01
Quality Management,82919,Shigeu,Claffy,1965-01-05,M,Engineer,1998-02-03,9999-01-01
Sales,270716,Shunichi,Baer,1965-01-19,M,Staff,1998-02-04,9999-01-01
Sales,253707,Insup,Hainaut,1965-01-05,M,Staff,1998-02-11,9999-01-01
Production,275994,Uma,Prampolini,1965-01-29,F,Senior Engineer,1998-02-21,9999-01-01
Sales,27686,Manu,Rosiles,1965-01-28,M,Senior Staff,1998-03-03,9999-01-01
Research,469527,Halsur,Ibel,1965-01-24,F,Staff,1998-03-05,9999-01-01
Quality Management,459685,Hirochika,Goldhammer,1965-02-01,M,Engineer,1998-03-12,9999-01-01
Development,404788,Basem,Beausoleil,1965-01-16,M,Engineer,1998-03-16,9999-01-01
Finance,427776,Jaques,Navazio,1965-01-25,F,Senior Staff,1998-04-03,9999-01-01
Research,66530,Dung,Leaver,1965-01-29,M,Staff,1998-04-04,9999-01-01
Research,71334,Cathie,Peck,1965-01-15,M,Senior Engineer,1998-04-12,9999-01-01
Finance,93549,Arie,Coullard,1965-02-01,F,Senior Staff,1998-04-15,9999-01-01
Human Resources,246902,Shih,Shanbhogue,1965-01-27,M,Staff,1998-04-19,9999-01-01
Human Resources,18617,Surveyors,Crouzet,1965-01-21,M,Senior Staff,1998-04-24,9999-01-01
Production,222952,Gopalakrishnan,Suermann,1965-01-28,M,Senior Engineer,1998-04-30,9999-01-01
Sales,419099,Heon,Broomell,1965-01-15,M,Staff,1998-05-06,9999-01-01
Marketing,435181,Kazuhide,Fiutem,1965-01-16,M,Senior Staff,1998-05-10,9999-01-01
Customer Service,260249,Vugranam,Beausoleil,1965-01-22,F,Staff,1998-05-14,9999-01-01
Sales,234195,Luerbio,Terkki,1965-01-07,M,Senior Staff,1998-05-14,9999-01-01
Development,81105,Jaewon,Boissier,1965-01-14,M,Senior Engineer,1998-05-24,9999-01-01
Production,450934,Chanjung,Raoux,1965-01-23,M,Senior Engineer,1998-05-25,9999-01-01
Human Resources,276186,Sajjad,Vecchi,1965-01-30,M,Senior Staff,1998-06-02,9999-01-01
Development,84451,Shiv,Aumann,1965-01-20,M,Senior Engineer,1998-06-14,9999-01-01
Finance,15058,Bouchung,Bugrara,1965-01-30,M,Senior Staff,1998-06-18,9999-01-01
Human Resources,467176,Przemyslawa,Borovoy,1965-01-05,F,Senior Staff,1998-06-18,9999-01-01
Quality Management,200312,Akemi,Fujisaki,1965-01-27,F,Senior Engineer,1998-06-25,9999-01-01
Production,29418,Valery,Mersereau,1965-01-22,M,Assistant Engineer,1998-07-01,9999-01-01
Development,291612,Siamak,Gomatam,1965-01-30,M,Engineer,1998-07-08,9999-01-01
Development,90077,Vivian,Guerreiro,1965-01-24,M,Engineer,1998-07-08,9999-01-01
Marketing,419953,Ung,Orlowski,1965-01-29,M,Senior Staff,1998-07-22,9999-01-01
